last_two,tokens
rt,as ss se er rt ass sse ser ert av ve er rt ave ver ert bi ip pa ar rt bip ipa par art co on nt tr ro ov ve er rt con ont ntr tro rov ove ver ert co on nv ve er rt con onv nve ver ert de ep pe er rt dep epe per ert di iv ve er rt div ive ver ert im mp pa ar rt imp mpa par art im mp pe er rv ve er rt imp mpe per erv rve ver ert in nc co on nt tr ro ov ve er rt inc nco con ont ntr tro rov ove ver ert in nc co on nv ve er rt inc nco con onv nve ver ert in nd di iv ve er rt ind ndi div ive ver ert in ns su ub bv ve er rt ins nsu sub ubv bve ver ert in nt te er rc co on nv ve er rt int nte ter erc rco con onv nve ver ert in nt tr ro oc co on nv ve er rt int ntr tro roc oco con onv nve ver ert in nv ve er rt inv nve ver ert ir rr re ev ve er rt irr rre rev eve ver ert no on nc co on nv ve er rt non onc nco con onv nve ver ert no on np pa ar rt non onp npa par art no on np pe er rv ve er rt non onp npe per erv rve ver ert no on nr re ev ve er rt non onr nre rev eve ver ert pa ar rt par art pe er rv ve er rt per erv rve ver ert re ec co on nv ve er rt rec eco con onv nve ver ert re ed di iv ve er rt red edi div ive ver ert re ev ve er rt rev eve ver ert su ub bv ve er rt sub ubv bve ver ert tr ri ip pa ar rt tri rip ipa par art un na av ve er rt una nav ave ver ert un nc co on nt tr ro ov ve er rt unc nco con ont ntr tro rov ove ver ert un nc co on nv ve er rt unc nco con onv nve ver ert un nd di iv ve er rt und ndi div ive ver ert un ni im mp pa ar rt uni nim imp mpa par art un ni in nv ve er rt uni nin inv nve ver ert un np pa ar rt unp npa par art un nr re ev ve er rt unr nre rev eve ver ert ve er rt ver ert
tr,at tr atr qu ua at tr qua uat atr
ud,au ud aud co on nc cl lu ud con onc ncl clu lud el lu ud elu lud ex xc cl lu ud exc xcl clu lud in na au ud ina nau aud in nc cl lu ud inc ncl clu lud in ne el lu ud ine nel elu lud no on na au ud non ona nau aud su ub ba au ud sub uba bau aud un na au ud una nau aud un ni in nc cl lu ud uni nin inc ncl clu lud un np pr re ec cl lu ud unp npr pre rec ecl clu lud
st,au ut to oc co om mb bu us st aut uto toc oco com omb mbu bus ust au ut to os su ug gg ge es st aut uto tos osu sug ugg gge ges est co om mb bu us st com omb mbu bus ust co om me es st com ome mes est co on ng ge es st con ong nge ges est co on ns si is st con ons nsi sis ist co on nt tr ra as su ug gg ge es st con ont ntr tra ras asu sug ugg gge ges est di ig ge es st dig ige ges est di iv ve es st div ive ves est ex xh ha au us st exh xha hau aus ust ex xi is st exi xis ist hy yp pe er rs su ug gg ge es st hyp ype per ers rsu sug ugg gge ges est in nc co om mb bu us st inc nco com omb mbu bus ust in nd di ig ge es st ind ndi dig ige ges est in ne ex xh ha au us st ine nex exh xha hau aus ust in ng ge es st ing nge ges est in nv ve es st inv nve ves est ir rr re es si is st irr rre res esi sis ist no on nc co om mb bu us st non onc nco com omb mbu bus ust no on nd di ig ge es st non ond ndi dig ige ges est no on ne ex xh ha au us st non one nex exh xha hau aus ust no on nr re es si is st non onr nre res esi sis ist no on ns su ug gg ge es st non ons nsu sug ugg gge ges est re es si is st res esi sis ist su ug gg ge es st sug ugg gge ges est un nc co om mb bu us st unc nco com omb mbu bus ust un nd di ig ge es st und ndi dig ige ges est un ne ex xh ha au us st une nex exh xha hau aus ust un nr re es si is st unr nre res esi sis ist un ns su ug gg ge es st uns nsu sug ugg gge ges est ve es st ves est
b,
rc,co oe er rc coe oer erc di iv vo or rc div ivo vor orc en nf fo or rc enf nfo for orc fo or rc for orc in nc co oe er rc inc nco coe oer erc no on nc co oe er rc non onc nco coe oer erc un nf fo or rc unf nfo for orc
sc,co og gn no os sc cog ogn gno nos osc co on nc cr re es sc con onc ncr cre res esc co on nc cu up pi is sc con onc ncu cup upi pis isc de em mi is sc dem emi mis isc ef ff fe er rv ve es sc eff ffe fer erv rve ves esc ev va an ne es sc eva van ane nes esc fe er rm me en nt te es sc fer erm rme men ent nte tes esc im mm ma ar rc ce es sc imm mma mar arc rce ces esc im mm mi is sc imm mmi mis isc im mp pu ut tr re es sc imp mpu put utr tre res esc in nc co og gn no os sc inc nco cog ogn gno nos osc in nc co om mm mi is sc inc nco com omm mmi mis isc in ne ef ff fe er rv ve es sc ine nef eff ffe fer erv rve ves esc in nn na as sc inn nna nas asc in ns se en ne es sc ins nse sen ene nes esc ir ra as sc ira ras asc mi is sc mis isc no on nm mi is sc non onm nmi mis isc no on np pu ut tr re es sc non onp npu put utr tre res esc ob bl li iv vi is sc obl bli liv ivi vis isc pu ut tr re es sc put utr tre res esc re en na as sc ren ena nas asc re ev vi iv vi is sc rev evi viv ivi vis isc tu ur rg ge es sc tur urg rge ges esc un nc co og gn no os sc unc nco cog ogn gno nos osc un ni ir ra as sc uni nir ira ras asc un nm mi is sc unm nmi mis isc un nv vi it tr re es sc unv nvi vit itr tre res esc vi it tr re es sc vit itr tre res esc
es,co oh he es coh ohe hes
ps,co ol ll la ap ps col oll lla lap aps la ap ps lap aps no on nc co ol ll la ap ps non onc nco col oll lla lap aps pr re ec co ol ll la ap ps pre rec eco col oll lla lap aps se em mi ic co ol ll la ap ps sem emi mic ico col oll lla lap aps un nc co ol ll la ap ps unc nco col oll lla lap aps
ig,co ol ll li ig col oll lli lig co or rr ri ig cor orr rri rig di ir ri ig dir iri rig el li ig eli lig er ri ig eri rig ex xi ig exi xig in nc co or rr ri ig inc nco cor orr rri rig in ne el li ig ine nel eli lig in ne ex xi ig ine nex exi xig in nt te el ll li ig int nte tel ell lli lig mi is si in nt te el ll li ig mis isi sin int nte tel ell lli lig ne eg gl li ig neg egl gli lig no on nd di ir ri ig non ond ndi dir iri rig no on ne el li ig non one nel eli lig no on nn ne eg gl li ig non onn nne neg egl gli lig pr re ee el li ig pre ree eel eli lig re ee el li ig ree eel eli lig su up pe er re el li ig sup upe per ere rel eli lig ul lt tr ra ae el li ig ult ltr tra rae ael eli lig un nc co or rr ri ig unc nco cor orr rri rig un ne el li ig une nel eli lig un ne ex xi ig une nex exi xig un ni in nt te el ll li ig uni nin int nte tel ell lli lig
at,co om mp pa at com omp mpa pat im mp pa at imp mpa pat in nc co om mp pa at inc nco com omp mpa pat pa at pat un nc co om mp pa at unc nco com omp mpa pat
pt,co om mp pt com omp mpt co on nc ce ep pt con onc nce cep ept co on ns su um mp pt con ons nsu sum ump mpt co on nt te em mp pt con ont nte tem emp mpt co or rr ru up pt cor orr rru rup upt de ec ce ep pt dec ece cep ept di is sc ce er rp pt dis isc sce cer erp rpt er ru up pt eru rup upt ex xc ce er rp pt exc xce cer erp rpt ex xe em mp pt exe xem emp mpt hy yp pe er rs su us sc ce ep pt hyp ype per ers rsu sus usc sce cep ept im mp pe er rc ce ep pt imp mpe per erc rce cep ept im mp pe er rs sc cr ri ip pt imp mpe per ers rsc scr cri rip ipt im mp pr re es sc cr ri ip pt imp mpr pre res esc scr cri rip ipt in na ap pp pe er rc ce ep pt ina nap app ppe per erc rce cep ept in nc ci ir rc cu um ms sc cr ri ip pt inc nci cir irc rcu cum ums msc scr cri rip ipt in nc co on nc ce ep pt inc nco con onc nce cep ept in nc co on ns su um mp pt inc nco con ons nsu sum ump mpt in nc co on nt te em mp pt inc nco con ont nte tem emp mpt in nc co or rr ru up pt inc nco cor orr rru rup upt in nd di is sc ce er rp pt ind ndi dis isc sce cer erp rpt in ns sc cr ri ip pt ins nsc scr cri rip ipt in ns su us sc ce ep pt ins nsu sus usc sce cep ept in nt te er rr ru up pt int nte ter err rru rup upt ir rr ru up pt irr rru rup upt no on nc co on nt te em mp pt non onc nco con ont nte tem emp mpt no on nc co or rr ru up pt non onc nco cor orr rru rup upt no on ne ex xc ce er rp pt non one nex exc xce cer erp rpt no on np pe er rc ce ep pt non onp npe per erc rce cep ept no on nr re ed de em mp pt non onr nre red ede dem emp mpt no on ns su us sc ce ep pt non ons nsu sus usc sce cep ept ov ve er rs su us sc ce ep pt ove ver ers rsu sus usc sce cep ept pe er rc ce ep pt per erc rce cep ept pr re es sc cr ri ip pt pre res esc scr cri rip ipt pr re es su us sc ce ep pt pre res esu sus usc sce cep ept re ec ce ep pt rec ece cep ept re ed de em mp pt red ede dem emp mpt su us sc ce ep pt sus usc sce cep ept un nc ci ir rc cu um ms sc cr ri ip pt unc nci cir irc rcu cum ums msc scr cri rip ipt un nc co on nt te em mp pt unc nco con ont nte tem emp mpt un nc co or rr ru up pt unc nco cor orr rru rup upt un ne ex xe em mp pt une nex exe xem emp mpt un ni in nt te er rr ru up pt uni nin int nte ter err rru rup upt un np pe er rc ce ep pt unp npe per erc rce cep ept un ns su us sc ce ep pt uns nsu sus usc sce cep ept un nt te em mp pt unt nte tem emp mpt us su uc ca ap pt usu suc uca cap apt
us,co on nc cl lu us con onc ncl clu lus di if ff fu us dif iff ffu fus ex xt tr ru us ext xtr tru rus fu us fus il ll lu us ill llu lus im mp pl la au us imp mpl pla lau aus in nc co on nc cl lu us inc nco con onc ncl clu lus in nf fu us inf nfu fus in nt tr ra an ns sf fu us int ntr tra ran ans nsf sfu fus no on nd di if ff fu us non ond ndi dif iff ffu fus no on nf fu us non onf nfu fus no on ni in nf fu us non oni nin inf nfu fus no on np pl la au us non onp npl pla lau aus ov ve er rp pl la au us ove ver erp rpl pla lau aus pl la au us pla lau aus pr ro ot tr ru us pro rot otr tru rus re et tr ru us ret etr tru rus su up pe er rf fu us sup upe per erf rfu fus su up pe er rp pl la au us sup upe per erp rpl pla lau aus tr ra an ns sf fu us tra ran ans nsf sfu fus ul lt tr ra ap pl la au us ult ltr tra rap apl pla lau aus un nd di if ff fu us und ndi dif iff ffu fus un nf fu us unf nfu fus un np pl la au us unp npl pla lau aus un np pr ro ot tr ru us unp npr pro rot otr tru rus un nt tr ra an ns sf fu us unt ntr tra ran ans nsf sfu fus
ux,co on nf fl lu ux con onf nfl flu lux fl lu ux flu lux in nf fl lu ux inf nfl flu lux
mn,co on nt te em mn con ont nte tem emn
rs,co on nv ve er rs con onv nve ver ers di is sp pe er rs dis isp spe per ers ev ve er rs eve ver ers im mm me er rs imm mme mer ers in ns su ub bm me er rs ins nsu sub ubm bme mer ers in nt tr ro ov ve er rs int ntr tro rov ove ver ers ir rr re ev ve er rs irr rre rev eve ver ers no on nr re ev ve er rs non onr nre rev eve ver ers no on ns su ub bm me er rs non ons nsu sub ubm bme mer ers re ev ve er rs rev eve ver ers su ub bm me er rs sub ubm bme mer ers un ne ev ve er rs une nev eve ver ers un nr re ev ve er rs unr nre rev eve ver ers un ns su ub bm me er rs uns nsu sub ubm bme mer ers
nc,co on nv vi in nc con onv nvi vin inc ev vi in nc evi vin inc ex xp pe er ri ie en nc exp xpe per eri rie ien enc fe en nc fen enc in nc co on nv vi in nc inc nco con onv nvi vin inc in nv vi in nc inv nvi vin inc no on ne ev vi in nc non one nev evi vin inc no on ni in nv vi in nc non oni nin inv nvi vin inc sc co on nc sco con onc un nc co on nv vi in nc unc nco con onv nvi vin inc un ne ev vi in nc une nev evi vin inc un ni in nv vi in nc uni nin inv nvi vin inc un nv vi in nc unv nvi vin inc vi in nc vin inc
ls,co on nv vu ul ls con onv nvu vul uls em mu ul ls emu mul uls
od,co or rr ro od cor orr rro rod er ro od ero rod in nc co or rr ro od inc nco cor orr rro rod no on nc co or rr ro od non onc nco cor orr rro rod od
os,co or rr ro os cor orr rro ros er ro os ero ros ex xp pl lo os exp xpl plo los
ed,cr re ed cre red ed im mp pe ed imp mpe ped in nc cr re ed inc ncr cre red in ne ed ine ned no on nc cr re ed non onc ncr cre red no on ne ed non one ned un nc cr re ed unc ncr cre red un ne ed une ned un ni im mp pe ed uni nim imp mpe ped
cr,cr
ll,cu ul ll cul ull fa al ll fal all gu ul ll gul ull in nf fa al ll inf nfa fal all no on ni in nf fa al ll non oni nin inf nfa fal all un nc cu ul ll unc ncu cul ull un nf fa al ll unf nfa fal all un ng gu ul ll ung ngu gul ull un ni in nf fa al ll uni nin inf nfa fal all
on,de ec co om mp po on dec eco com omp mpo pon ex xp po on exp xpo pon in nd de ec co om mp po on ind nde dec eco com omp mpo pon no on ne ex xp po on non one nex exp xpo pon tr ra an ns sp po on tra ran ans nsp spo pon un ne ex xp po on une nex exp xpo pon
as,de ef fe ea as def efe fea eas ev va as eva vas fe ea as fea eas im mp pe er rs su ua as imp mpe per ers rsu sua uas in nd de ef fe ea as ind nde def efe fea eas in ne er ra as ine ner era ras in ne ev va as ine nev eva vas in nf fe ea as inf nfe fea eas no on nd de ef fe ea as non ond nde def efe fea eas no on nf fe ea as non onf nfe fea eas no on np pe er rs su ua as non onp npe per ers rsu sua uas pe er rs su ua as per ers rsu sua uas re el le ea as rel ele lea eas su ua as sua uas un nd de ef fe ea as und nde def efe fea eas un nf fe ea as unf nfe fea eas un np pe er rs su ua as unp npe per ers rsu sua uas un nr re el le ea as unr nre rel ele lea eas
ex,de ef fl le ex def efl fle lex fl le ex fle lex hy yp pe er rf fl le ex hyp ype per erf rfl fle lex in nf fl le ex inf nfl fle lex no on nf fl le ex non onf nfl fle lex re ef fl le ex ref efl fle lex se em mi if fl le ex sem emi mif ifl fle lex un nf fl le ex unf nfl fle lex
el,de el del in nd de el ind nde del un nd de el und nde del
rg,de et te er rg det ete ter erg in ns su ub bm me er rg ins nsu sub ubm bme mer erg no on ns su ub bm me er rg non ons nsu sub ubm bme mer erg su ub bm me er rg sub ubm bme mer erg un ni im mm me er rg uni nim imm mme mer erg un ns su ub bm me er rg uns nsu sub ubm bme mer erg
ng,di if ff fr ra an ng dif iff ffr fra ran ang fr ra an ng fra ran ang fu un ng fun ung in ne ex xp pu un ng ine nex exp xpu pun ung in nf fr ra an ng inf nfr fra ran ang in nf fr ri in ng inf nfr fri rin ing in nt ta an ng int nta tan ang ir rr re ef fr ra an ng irr rre ref efr fra ran ang no on nf fr ra an ng non onf nfr fra ran ang no on nf fu un ng non onf nfu fun ung no on nt ta an ng non ont nta tan ang pr re et ta an ng pre ret eta tan ang re ef fr ra an ng ref efr fra ran ang ta an ng tan ang ti in ng tin ing un nf fr ra an ng unf nfr fra ran ang un nf fu un ng unf nfu fun ung un ni in nf fr ri in ng uni nin inf nfr fri rin ing un nr re ef fr ra an ng unr nre ref efr fra ran ang un nt ta an ng unt nta tan ang
rn,di is sc ce er rn dis isc sce cer ern in nd di is sc ce er rn ind ndi dis isc sce cer ern un nd di is sc ce er rn und ndi dis isc sce cer ern
rp,di is sc ce er rp dis isc sce cer erp in nd di is sc ce er rp ind ndi dis isc sce cer erp
oc,do oc doc in nd do oc ind ndo doc un nd do oc und ndo doc
wa,dw wa dwa
id,el li id eli lid fl lu ui id flu lui uid in na ai id ina nai aid un ne el li id une nel eli lid
ad,ev va ad eva vad in ne ev va ad ine nev eva vad no on ne ev va ad non one nev eva vad un ne ev va ad une nev eva vad
lu,fl lu flu
fo,fo
nn,hi in nn hin inn
it,ig gn ni it ign gni nit im mp pe en ni it imp mpe pen eni nit no on ni ig gn ni it non oni nig ign gni nit un ni ig gn ni it uni nig ign gni nit
eg,il ll le eg ill lle leg le eg leg un nl le eg unl nle leg
rd,im mp pe er rd imp mpe per erd
un,im mp pu un imp mpu pun un
ic,in nd di ic ind ndi dic su ub bj ji ic sub ubj bji jic
gu,in ne ex xt ti in ng gu ine nex ext xti tin ing ngu
en,in nf fe en inf nfe fen in nt te en int nte ten pe en pen te en ten un nt te en unt nte ten
er,in nf fe er inf nfe fer re ep pe er rep epe per
nt,in nv ve en nt inv nve ven ent no on np pr re ev ve en nt non onp npr pre rev eve ven ent pr re ev ve en nt pre rev eve ven ent un np pr re ev ve en nt unp npr pre rev eve ven ent
ix,mi ix mix
in,qu ui in qui uin re ed de et te er rm mi in red ede det ete ter erm rmi min
lv,re es so ol lv res eso sol olv
ub,ru ub rub
th,th
ur,th hu ur thu hur
ut,ut
wr,wr
